Activity Period;Operating Airline;Adjusted Passenger Count
200507;Air France;12050
200508;Air France;11230
200509;Air France;10731
200510;Air France;10515
200511;Air France;7121
200512;Air France;7158
200601;Air France;7565
200602;Air France;6469
200603;Air France;8444
200604;Air France;11648
200605;Air France;11060
200606;Air France;11567
200607;Air France;12990
200608;Air France;11865
200609;Air France;11012
200610;Air France;10731
200611;Air France;6414
200612;Air France;6761
200701;Air France;7200
200702;Air France;6219
200703;Air France;8747
200704;Air France;9832
200705;Air France;10541
200706;Air France;10911
200707;Air France;13132
200708;Air France;11746
200709;Air France;10708
200710;Air France;10297
200711;Air France;6794
200712;Air France;6828
200801;Air France;6827
200802;Air France;6224
200803;Air France;7697
200804;Air France;11633
200805;Air France;11813
200806;Air France;12334
200807;Air France;13250
200808;Air France;12870
200809;Air France;12099
200810;Air France;11273
200811;Air France;6271
200812;Air France;7511
200901;Air France;7173
200902;Air France;5523
200903;Air France;7837
200904;Air France;11512
200905;Air France;12259
200906;Air France;12118
200907;Air France;13309
200908;Air France;13163
200909;Air France;12556
200910;Air France;11892
200911;Air France;6860
200912;Air France;7331
201001;Air France;7406
201002;Air France;6152
201003;Air France;8442
201004;Air France;9904
201005;Air France;12576
201006;Air France;13640
201007;Air France;16795
201008;Air France;15705
201009;Air France;12693
201010;Air France;12812
201011;Air France;6827
201012;Air France;7180
201101;Air France;7644
201102;Air France;6161
201103;Air France;7839
201104;Air France;12705
201105;Air France;12888
201106;Air France;16598
201107;Air France;19818
201108;Air France;18485
201109;Air France;17189
201110;Air France;15319
201111;Air France;7213
201112;Air France;7809
201201;Air France;7366
201202;Air France;6439
201203;Air France;8568
201204;Air France;10449
201205;Air France;14156
201206;Air France;20728
201207;Air France;22919
201208;Air France;21521
201209;Air France;21181
201210;Air France;12365
201211;Air France;7774
201212;Air France;8180
201301;Air France;7673
201302;Air France;6358
201303;Air France;8717
201304;Air France;12097
201305;Air France;16052
201306;Air France;19403
201307;Air France;20870
201308;Air France;20181
201309;Air France;18734
201310;Air France;13977
201311;Air France;7170
201312;Air France;8585
201401;Air France;8199
201402;Air France;6999
201403;Air France;8778
201404;Air France;13214
201405;Air France;13752
201406;Air France;19937
201407;Air France;21819
201408;Air France;20886
201409;Air France;14146
201410;Air France;13901
201411;Air France;8025
201412;Air France;8587
201501;Air France;7675
201502;Air France;6804
201503;Air France;9008
201504;Air France;13212
201505;Air France;14679
201506;Air France;21655
201507;Air France;25195
201508;Air France;23579
201509;Air France;19873
201510;Air France;15190
201511;Air France;8892
201512;Air France;9024
201601;Air France;9447
201602;Air France;8240
201603;Air France;9972
